Corridor_ID,Location,Type,Direction,Movement,Distance_m,Latitude,Longitude
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,305.00,-6.22135963,106.56601412
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,310.00,-6.22139970,106.56603464
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,315.00,-6.22143533,106.56606188
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,320.00,-6.22146958,106.56609115
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,325.00,-6.22150031,106.56612417
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,330.00,-6.22153034,106.56615781
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,335.00,-6.22155888,106.56619276
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,340.00,-6.22158742,106.56622772
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,345.00,-6.22161122,106.56626606
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,350.00,-6.22163470,106.56630464
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,355.00,-6.22165194,106.56634641
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,360.00,-6.22166728,106.56638887
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,365.00,-6.22167879,106.56643260
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,370.00,-6.22168759,106.56647691
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,375.00,-6.22169467,106.56652155
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,380.00,-6.22169638,106.56656675
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,385.00,-6.22169785,106.56661195
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,390.00,-6.22169868,106.56665718
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,395.00,-6.22169334,106.56670202
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,400.00,-6.22168647,106.56674672
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,405.00,-6.22167457,106.56679030
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,410.00,-6.22165965,106.56683291
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,415.00,-6.22164281,106.56687485
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,420.00,-6.22162213,106.56691485
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,425.00,-6.22159894,106.56695360
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,430.00,-6.22157232,106.56699003
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,435.00,-6.22154252,106.56702370
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,440.00,-6.22150913,106.56705390
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,445.00,-6.22147301,106.56708081
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,450.00,-6.22143284,106.56710113
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,455.00,-6.22139173,106.56711931
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,460.00,-6.22134867,106.56713215
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,465.00,-6.22130428,106.56713935
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,470.00,-6.22125962,106.56714403
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,475.00,-6.22121471,106.56714391
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,480.00,-6.22117023,106.56713791
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,485.00,-6.22112708,106.56712537
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,490.00,-6.22108522,106.56710896
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,495.00,-6.22104629,106.56708697
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,500.00,-6.22101027,106.56705990
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,505.00,-6.22097589,106.56703077
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,510.00,-6.22094424,106.56699875
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,515.00,-6.22091498,106.56696450
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,520.00,-6.22088988,106.56692697
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,525.00,-6.22086688,106.56688816
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,530.00,-6.22084774,106.56684728
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,535.00,-6.22083201,106.56680493
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,540.00,-6.22081748,106.56676214
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,545.00,-6.22080455,106.56671881
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,550.00,-6.22079162,106.56667549
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,555.00,-6.22077918,106.56663203
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,560.00,-6.22076748,106.56658836
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,565.00,-6.22075578,106.56654468
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,570.00,-6.22074408,106.56650100
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,575.00,-6.22073356,106.56645703
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,580.00,-6.22072334,106.56641298
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,585.00,-6.22071312,106.56636894
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,590.00,-6.22070290,106.56632489
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,595.00,-6.22069268,106.56628084
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,600.00,-6.22068246,106.56623679
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,605.00,-6.22067258,106.56619267
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,610.00,-6.22066303,106.56614846
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,615.00,-6.22065313,106.56610434
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,620.00,-6.22064261,106.56606037
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,625.00,-6.22063210,106.56601639
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,630.00,-6.22062158,106.56597241
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,635.00,-6.22061106,106.56592843
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,640.00,-6.22060086,106.56588438
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,645.00,-6.22059085,106.56584028
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,650.00,-6.22058083,106.56579619
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,655.00,-6.22057054,106.56575216
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,660.00,-6.22055991,106.56570821
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,665.00,-6.22054929,106.56566425
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,670.00,-6.22053867,106.56562030
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,675.00,-6.22052805,106.56557635
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,680.00,-6.22051743,106.56553240
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,685.00,-6.22050680,106.56548844
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,690.00,-6.22049618,106.56544449
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,695.00,-6.22048527,106.56540061
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,700.00,-6.22047417,106.56535678
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,705.00,-6.22046307,106.56531295
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,710.00,-6.22045197,106.56526911
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,715.00,-6.22044053,106.56522537
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,720.00,-6.22042892,106.56518167
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,725.00,-6.22041731,106.56513797
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,730.00,-6.22040571,106.56509427
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,735.00,-6.22038857,106.56505255
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,740.00,-6.22036362,106.56501522
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,745.00,-6.22032898,106.56498672
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,750.00,-6.22028897,106.56496607
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,755.00,-6.22026776,106.56493046
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,760.00,-6.22025696,106.56488655
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,765.00,-6.22024616,106.56484264
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,770.00,-6.22023536,106.56479873
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,775.00,-6.22022457,106.56475482
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,780.00,-6.22021377,106.56471091
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,785.00,-6.22020297,106.56466700
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,790.00,-6.22019218,106.56462309
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,795.00,-6.22018138,106.56457918
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,800.00,-6.22017058,106.56453527
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,805.00,-6.22015979,106.56449137
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,810.00,-6.22014899,106.56444746
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,815.00,-6.22013819,106.56440355
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,820.00,-6.22012740,106.56435964
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,825.00,-6.22011660,106.56431573
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,828.66,-6.22010870,106.56428360
11_CIKUPA_RAMP_B_OFF_R004,CIKUPA,RAMP,B,OFF,0.00,-6.20555420,106.52587220
11_CIKUPA_RAMP_B_OFF_R004,CIKUPA,RAMP,B,OFF,5.00,-6.20557655,106.52583301
11_CIKUPA_RAMP_B_OFF_R004,CIKUPA,RAMP,B,OFF,10.00,-6.20559355,106.52579134
